Upc,Department,qty,incltaxes,inclfees,Name,size,ebt,byweight,Fee Multiplier,cost_qty,cost_cents,variable_price,addstock,setstock,pack_name,pack_qty,pack_upc,unit_upc,unit_count,is_oneclick,oc_color,oc_border_color,oc_text_color,oc_fixedpos,oc_page,oc_key,oc_relpos
074570146000,Grocery,1,n,n,Haagen-Dazs:Ice Cream Bar  Coffee & Almond Crunch,3.67 OZ,y,n,1,0,0,n,,0,,,,,,n,,,,,,,
074570172214,Grocery,1,n,n,Haagen,,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
074570274000,Grocery,1,n,n,Haagen-Dazs:Ice Cream  Cookie & Cream,1.00 PT,,n,1,1,0,n,,0,,,,,,n,,,,,,,
074570597987,Snacks,1,n,n,Haagen - Dazs Vanilla Caramel,3 Oz,,n,1,1,0,n,,0,,,,,,n,,,,,,,
074570606863,Grocery,1,n,n,Haagen Dazs,,y,n,1,0,0,n,,0,,,,,,n,,,,,,,
074570610075,Grocery,1,n,n,Haagen-Dazs:Pineapple Coconut,1.00 PT,,n,1,1,0,n,,0,,,,,,n,,,,,,,
074570650309,Snacks,1,n,n,Haagen-Dazs:White Chocolate Raspberry Truffle,1.00 PT,y,n,1,0,0,n,,0,,,,,,n,,,,,,,
074570650576,Grocery,1,n,n,Haagen-Dazs:Vanilla Bean,1.00 PT,,n,1,1,0,n,,0,,,,,,n,,,,,,,
074570650583,Grocery,1,n,n,Haagen-Dazs:Caramel Cone,1.00 PT,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
074570651092,Grocery,1,n,n,Haagen-Dazs:Strawberry Snack Size Cup Spoon Inside,4.00 OZ,,n,1,0,0,n,,0,,,,,,n,,,,,,,
074570810116,Snacks,1,n,n,Haagen-Dazs:Dulce De Leche Caramel,1.00 PT,y,n,1,0,0,n,,0,,,,,,n,,,,,,,
074570950157,Grocery,1,n,n,Haagen-Dazs:All Natural Ice Cream  Chocolate Peanut Butter,1.00 PT,,n,1,1,0,n,,0,,,,,,n,,,,,,,
074606586107,LIQUOR,1,n,n,Daily,,,n,2,1,0,n,,0,,,,,,n,,,,,,,
074714084212,Grocery,1,n,n,Mrs. Cubbison'S:Seasoned Corn Bread 6 Oz Bags,2.00 CT,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
074714084229,Grocery,1,n,n,Mrs. Cubbison'S:Herb Seasoned,10.00 OZ,,n,1,0,0,n,,0,,,,,,n,,,,,,,
074714084380,Grocery,1,n,n,Mrs. Cubbison'S:Classic Seasoned 6 Oz Bags,2.00 CT,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
074729320206,Item Tax,1,n,n,Oven Bags Turkey Size,2 bags,,n,1,0,0,n,,0,,,,,,n,,,,,,,
074780000031,Drinks NT 5,1,n,n,Perrier Sparkling Natural Mineral Water,11.15 oz,y,n,1,0,0,n,,0,,,,,,n,,,,,,,
074780000703,Drinks T5,1,n,n,Perrier Sparkling Natural Mineral Water,0.50 LT,,n,1,1,0,n,,0,,,,,,n,,,,,,,
074780515504,Drinks NT 5,1,n,n,Maison Perrier,,y,n,1,0,0,n,,0,,,,,,n,,,,,,,
